x,y,r,g,b,opacity
41,4,33,59,178,1.0
42,4,33,59,178,1.0
43,4,33,59,178,1.0
44,4,32,59,178,1.0
45,4,33,59,178,1.0
46,4,33,59,178,1.0
47,4,32,59,178,1.0
48,4,33,59,178,1.0
49,4,32,59,177,1.0
50,4,32,58,177,1.0
51,4,32,58,178,1.0
52,4,32,59,177,1.0
53,4,33,58,178,1.0
54,4,33,58,177,1.0
55,4,33,59,177,1.0
56,4,33,58,177,1.0
57,4,33,58,178,1.0
58,4,33,59,178,1.0
59,4,33,59,178,1.0
60,4,32,58,177,1.0
61,4,33,59,178,0.8
62,4,33,59,177,0.2
82,4,32,58,178,0.0
83,4,32,59,177,0.4
84,4,32,58,178,0.9
85,4,32,59,177,1.0
86,4,32,59,177,1.0
87,4,33,58,178,1.0
88,4,33,59,177,1.0
89,4,33,59,177,1.0
90,4,33,58,177,1.0
91,4,33,59,178,1.0
92,4,33,59,178,1.0
93,4,32,59,178,1.0
94,4,32,59,177,1.0
95,4,33,59,177,1.0
96,4,33,59,178,1.0
97,4,32,59,178,1.0
98,4,32,59,178,1.0
99,4,33,59,178,1.0
100,4,33,59,178,1.0
101,4,33,59,178,1.0
102,4,33,59,178,1.0
103,4,33,59,178,1.0
104,4,33,59,177,1.0
105,4,32,59,177,1.0
106,4,33,59,178,1.0
107,4,33,59,178,1.0
108,4,33,59,178,1.0
109,4,33,59,178,1.0
110,4,32,59,178,1.0
111,4,33,59,177,1.0
112,4,33,59,177,1.0
113,4,33,59,178,1.0
114,4,32,59,178,1.0
115,4,32,59,178,1.0
116,4,33,59,178,0.9
117,4,33,59,178,0.9
118,4,33,59,178,0.8
119,4,33,59,178,0.7
120,4,33,59,178,0.5
121,4,33,59,178,0.3
122,4,32,58,177,0.1
123,4,32,58,177,0.0
13,5,33,59,178,0.3
14,5,33,59,178,0.9
15,5,33,59,178,1.0
16,5,33,59,178,1.0
17,5,33,59,178,1.0
18,5,33,59,178,1.0
19,5,33,59,178,1.0
20,5,33,59,178,1.0
21,5,33,59,178,1.0
22,5,33,59,178,1.0
23,5,33,58,178,1.0
24,5,33,59,178,1.0
25,5,33,59,178,1.0
26,5,33,59,178,1.0
27,5,33,59,178,1.0
28,5,33,59,178,1.0
29,5,33,59,178,1.0
30,5,33,59,178,1.0
31,5,33,59,177,1.0
32,5,33,59,178,1.0
33,5,33,58,178,1.0
34,5,33,59,178,1.0
35,5,33,59,178,1.0
36,5,33,59,178,1.0
37,5,33,59,178,1.0
38,5,33,59,178,1.0
39,5,33,59,178,1.0
40,5,33,59,178,1.0
41,5,33,59,178,1.0
42,5,33,59,178,1.0
43,5,33,59,178,1.0
44,5,33,59,178,1.0
45,5,33,59,178,1.0
46,5,33,59,178,1.0
47,5,32,58,178,1.0
48,5,33,58,177,1.0
49,5,33,58,178,1.0
50,5,33,58,178,1.0
51,5,33,59,178,1.0
52,5,33,59,178,1.0
53,5,33,59,178,1.0
54,5,33,59,177,1.0
55,5,33,59,177,1.0
56,5,33,59,178,1.0
57,5,33,59,178,1.0
58,5,33,59,178,1.0
59,5,33,59,178,1.0
60,5,33,59,178,1.0
61,5,33,59,178,0.9
62,5,33,59,178,0.4
63,5,33,59,178,0.0
81,5,32,59,176,0.0
82,5,33,58,177,0.3
83,5,32,58,178,0.9
84,5,33,58,178,1.0
85,5,33,59,178,1.0
86,5,33,59,178,1.0
87,5,33,59,178,1.0
88,5,33,59,177,1.0
89,5,33,59,178,1.0
90,5,33,59,178,1.0
91,5,33,59,178,1.0
92,5,33,59,178,1.0
93,5,33,59,178,1.0
94,5,33,59,178,1.0
95,5,33,59,178,1.0
96,5,33,59,178,1.0
97,5,33,59,178,1.0
98,5,32,59,178,1.0
99,5,33,59,178,1.0
100,5,33,59,178,1.0
101,5,33,59,178,1.0
102,5,33,59,178,1.0
103,5,33,59,178,1.0
104,5,33,59,178,1.0
105,5,33,59,178,1.0
106,5,33,59,178,1.0
107,5,33,58,178,1.0
108,5,33,59,178,1.0
109,5,33,59,178,1.0
